country_code,year,BN.KLT.DINV.CD,BX.KLT.DINV.WD.GD.ZS,BX.KLT.DINV.CD.WD,BM.KLT.DINV.GD.ZS,BN.TRF.KOGT.CD,BN.FIN.TOTL.CD,BX.KLT.DREM.CD.DT,BN.RES.INCL.CD,BN.CAB.XOKA.GD.ZS,BN.GSR.GNFS.CD,BX.GSR.MRCH.CD,BM.GSR.MRCH.CD,BM.GSR.TOTL.CD,BX.GSR.INSF.ZS,BM.GSR.INSF.ZS,BX.GSR.TRAN.ZS,BM.GSR.TRAN.ZS,BX.GSR.TRVL.ZS,BM.GSR.TRVL.ZS,BX.GRT.EXTA.CD.WD,BX.GRT.TECH.CD.WD,FI.RES.TOTL.DT.ZS,DT.AMT.PNGC.CD,DT.AMT.PCBK.CD,DT.AMT.MLAT.CD,DT.DSB.DPPG.CD,DT.DSF.DPPG.CD,DT.IXA.DPPG.CD,DT.IXA.OFFT.CD,DT.DOD.DECT.CD.CG,DT.CUR.OTHC.ZS,DT.DOD.PRVS.CD,DT.DOD.PUBS.CD,DT.DOD.DSTC.CD,DT.DOD.DECT.GN.ZS,NY.GNP.MKTP.KD.ZG,NY.GNP.PCAP.KD.ZG,NY.GDP.PCAP.KN,NY.GDP.PCAP.PP.CD,SE.PRM.GINT.ZS,SE.PRM.NINT.ZS,SE.PRM.PRS5.ZS,SE.PRM.PRSL.ZS,SE.SEC.PROG.ZS,SE.PRM.REPT.ZS,SE.SEC.REPT.ZS,SE.XPD.MTOT.ZS,SE.XPD.CPRM.ZS,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,SE.XPD.TERT.ZS,SE.XPD.TOTL.GD.ZS,SE.XPD.PRIM.PC.ZS,SE.SEC.AGES,SE.PRM.TCHR,SE.PRM.AGES,SE.PRM.ENRL.TC.ZS,SE.SEC.ENRL.TC.ZS,SE.SEC.TCHR,SE.ADT.LITR.ZS,SE.SEC.CMPT.LO.ZS,SE.PRM.CMPT.ZS,SE.PRM.DURS,SE.SEC.DURS,SE.PRM.UNER,SE.PRM.ENRL,SE.PRM.ENRR,SE.PRM.PRIV.ZS,SE.SEC.ENRR,SE.TER.ENRR,SE.SEC.ENRL.GC,SE.SEC.ENRL.VO,AG.AGR.TRAC.NO,AG.LND.TRAC.ZS,EA.PRD.AGRI.KD,AG.YLD.CREL.KG,AG.CON.FERT.ZS,AG.PRD.FOOD.XD,AG.PRD.LVSK.XD,EN.URB.LCTY,EN.URB.LCTY.UR.ZS,EN.URB.MCTY.TL.ZS,SP.RUR.TOTL,SP.RUR.TOTL.ZS,SP.URB.TOTL,SP.URB.TOTL.IN.ZS,SP.URB.GROW,EN.ATM.METH.AG.ZS,EN.ATM.NOXE.AG.ZS,EN.ATM.CO2E.PC,EN.ATM.PM25.MC.M3,EN.ATM.PM25.MC.ZS,EG.ELC.ACCS.ZS,EG.ELC.ACCS.RU.ZS,EG.ELC.ACCS.UR.ZS,EG.NSF.ACCS.ZS,EG.NSF.ACCS.RU.ZS,EG.NSF.ACCS.UR.ZS,EG.USE.COMM.CL.ZS,EG.USE.CRNW.ZS,EG.USE.ELEC.KH.PC,EG.ELC.LOSS.ZS,EG.ELC.COAL.ZS,EG.ELC.NUCL.ZS,EG.ELC.RNWX.ZS,EG.FEC.RNEW.ZS,ER.H2O.FWAG.ZS,ER.H2O.FWDM.ZS,ER.H2O.FWIN.ZS,ER.GDP.FWTL.M3.KD,AG.LND.IRIG.AG.ZS,AG.LND.AGRI.ZS,AG.LND.ARBL.ZS,EN.CLC.DRSK.XQ,EN.CLC.MDAT.ZS,AG.LND.FRST.ZS,AG.LND.TOTL.K2,AG.LND.EL5M.ZS,EN.POP.EL5M.ZS,FB.CBK.BRWR.P3,FB.CBK.BRCH.P5,FB.CBK.DPTR.P3,FB.BNK.CAPA.ZS,FB.AST.NPER.ZS,FS.AST.CGOV.GD.ZS,FM.AST.PRVT.ZG.M3,FS.AST.DOMS.GD.ZS,FD.AST.PRVT.GD.ZS,FM.AST.NFRG.CN,CM.MKT.LCAP.GD.ZS,CM.MKT.TRAD.GD.ZS,FP.CPI.TOTL,NY.GDP.DEFL.ZS,FP.CPI.TOTL.ZG,NY.GDP.DEFL.KD.ZG,PX.REX.REER,FR.INR.DPST,FR.INR.LNDP,FR.INR.LEND,FR.INR.RINR,FR.INR.RISK,FD.RES.LIQU.AS.ZS,SH.MLR.TRET.ZS,SH.IMM.IDPT,SH.STA.ACSN,SH.TBS.DTEC.ZS,SH.MED.CMHW.P3,SH.XPD.PCAP.PP.KD,SH.XPD.PRIV.ZS,SH.XPD.PUBL.ZS,SH.XPD.PUBL.GX.ZS,SP.DYN.LE00.IN,SH.DTH.IMRT,SP.DYN.CBRT.IN,IT.MLT.MAIN,GB.XPD.RSDV.GD.ZS,SI.DST.10TH.10,SI.DST.FRST.10,SI.POV.2DAY,IC.FRM.BRIB.ZS,IC.FRM.FEMO.ZS,IC.FRM.FEMM.ZS,IC.BUS.NREG,IC.TAX.METG,IC.TAX.OTHR.CP.ZS,IC.PRP.PROC,IC.TAX.DURS,IC.TAX.TOTL.CP.ZS,MS.MIL.TOTL.P1,MS.MIL.XPND.GD.ZS,GC.BAL.CASH.GD.ZS,GC.DOD.TOTL.GD.ZS,GC.DOD.TOTL.CN,GC.XPN.TOTL.GD.ZS,SL.TLF.0714.SW.TM,SL.TLF.0714.WK.TM,SL.AGR.0714.ZS,SL.MNF.0714.ZS,SL.SRV.0714.ZS,SL.AGR.EMPL.ZS,SL.IND.EMPL.ZS,SL.SRV.EMPL.ZS,SL.GDP.PCAP.EM.KD,SL.TLF.PART.ZS,SL.EMP.SELF.ZS,SL.TLF.ACTI.1524.NE.ZS,SL.TLF.PRIM.ZS,SL.TLF.SECO.ZS,SL.TLF.TERT.ZS,SM.POP.TOTL.ZS,SL.UEM.LTRM.ZS,SL.UEM.PRIM.ZS,SL.UEM.SECO.ZS,SL.UEM.TERT.ZS,SL.UEM.TOTL.NE.ZS,country,life_expectancy,gdp
BEL,2014,1.3744220861E10,-3.7809383661477898,-2.00974488107747E10,4.92102491280268,-5.307206438E8,5.648970957E9,,,1.5871719340072399,3.258275809E9,3.25986E11,3.3077E11,4.9252913741E11,7.567807657116901,5.76713085767342,20.675018745336,20.2216277798025,11.602695240258301,20.648000764478198,,,,,,,,,,,,,,,,,1.42103263666679,1.03803412506089,33612.281207820895,42578.226339804,,,,,,,,,,,,,,,12.0,,6.0,,,,,,,6.0,6.0,,,,,,,,,,,61359.7036204924,,,,,2028657.0,18.4754695989799,18.072334879882398,244934.0,2.182,1.0980273E7,97.818,0.42129469189847296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30280.0,,,703.4787516570799,39.8640122019437,,6.62731373724559,4.38192590611105,,,,,,71.2121570982737,20.200150427441002,108.02411540946,106.18549904890499,0.340000000000799,0.6655879256084211,99.6683333333334,,,,,,,,99.0,99.5,88.0,,,,,,,432.0,,4694435.0,,,,,,,,,,0.6,8.0,160.0,58.4,,0.9762806288890609,,,,,,,,,,1.1000000238418601,21.5,77.4000015258789,56219.0,16.7000007629395,14.6000003814697,30.2000007629395,19.5,39.0,41.5,,49.9000015258789,37.0999984741211,40.2000007629395,22.7000007629395,8.5,Belgium,89.0,47439.39684
BLR,2000,,0.932726219683113,1.188E8,,,,4600000.0,,,,,,,,,,,,,2.174E7,1.374E7,13.4593435313022,7.1397E7,2.7785E7,3.5699E7,0.0,0.0,1.3831E7,1.2186E7,-6.2312E7,2.99999999981537E-4,9.82E7,6.72801E8,1.238631E9,20.520692578189898,5.77856658005152,6.095743691236089,912923.538230885,5785.87424964163,101.58489990234399,81.6471633911133,,98.8826522827148,99.88538360595699,0.559920012950897,0.434069991111755,,,,,,6.19661998748779,,10.0,32940.0,6.0,18.206800460815398,,,,94.13031005859379,99.9636611938477,4.0,7.0,,599732.0,111.595283508301,0.088869996368885,,54.47492980957029,996158.0,,72902.0,118.868416761781,3106.62539658311,1951.689,,79.78,84.94,1700376.0,24.2883133768017,16.9952623688156,3004201.0,30.027,7000799.0,69.973,0.404771989182546,62.74974856267921,74.7154012171287,5.34418060969515,15.2475760663661,99.97343267491779,100.0,100.0,100.0,92.800210416317,,,0.0094490488323751,3.4065123235211097,2988.70564717641,13.0646335389449,0.0,0.0,0.0,4.98260485460074,,,,,,45.61230526523371,30.2356537172155,,,40.785841056990705,202840.0,0.0,0.0,,,,,10.8,,,,,,,,,100.0,,185.290798255312,,37.55,30.1166666666667,67.6666666666667,-41.22955675681529,,,,99.0,94.8,82.0,,355.53784698,1.5023938514783002,4.6264545985217,10.08509937,68.9121951219512,1051.0,9.4,2751905.0,0.7221,23.54,3.4,10.03,,,,,,,,,,91100.0,1.34698589853073,0.0690840613983227,15.0144518163306,1.37139E12,25.3401651010532,,,,,,,,,14620.0,,,,,,,11.2302448775612,,7.5,14.6000003814697,77.9000015258789,,Belarus,68.0,1276.28834
BRB,2006,-2.977964635E8,7.95269843650517,3.42244377215E8,1.03283173393749,,-2.235248388E8,,-2.484290366E7,-8.23542116649239,-1.808914243E8,5.10075016E8,1.60244025E9,2.6618456655E9,4.9597304145172805,29.249325144816602,2.15144408390587,20.756620750909104,76.591562242872,32.100304070107,3940000.0,2810000.0,,,,,,,,,,,,,,,4.65993429431593,4.26913385612416,4061.22745782432,14563.999696615701,107.414657592773,78.3145065307617,92.7071380615234,,98.3246688842773,,,,,,,,,,11.0,,5.0,,14.5839195251465,1430.0,,106.193168640137,93.9145965576172,6.0,5.0,1432.0,22461.0,100.294708251953,11.7537097930908,103.18128204345699,,20855.0,,,,,2700.0,139.0,97.65,99.42,,,,184931.0,67.238,90109.0,32.762,-0.16411078941326998,,,4.98639470622455,,,,,,,,,,,,,,,,9.87677487045754,,,,,,37.2093023255814,30.2325581395349,,,14.651162790697699,430.0,,,,19.1711671823718,,,,9.51288983443709,7.76920627630291,90.68927091018939,71.96319275008709,1.821632250964E9,,,81.0656406669,770.5461056401069,7.30766262828939,4.48585422214158,,4.5975,5.6941666666667,10.2916666666667,5.5565535523896905,4.330000000000029,5.24541030053783,,84.0,90.8,42.0,,1353.58521236,1.85440595381896,3.4074788561810396,12.44763466,74.1931219512195,54.0,12.862,134261.0,,,,,,,,,,,,,,610.0,,,,,,,,,,,,,,20237.0,,,,,,,,14.0,,,,8.699999809265138,Barbados,74.1,15646.5591
CRI,2003,,3.2827954939769604,5.75064883E8,,,,6.43503368E8,,,,,,,,,,,,,2.433E7,2.857E7,32.580289039777306,1.6958E7,3.2139E7,1.59673E8,0.0,0.0,2.2327E7,2.216E7,5.79874E8,1.04759999999999,1.36062E8,3.843967545E9,1.632327E9,33.733888217193304,4.52536891218651,2.93538614360926,381788.839957634,8463.38046267925,,,,,,,,,,,,,5.06166982650757,,12.0,,6.0,,,,,,,6.0,5.0,,,,,,,,,,,4695.534409762029,3171.38,847.290476190476,89.39,93.64,1058024.0,40.6535466533053,25.8577498139831,1523432.0,36.923,2602538.0,63.077,3.6574159080796895,,,1.6059905913033798,,,,,,,,,34.0814034632274,9.093329782984949,1658.76145488212,7.111230377029379,0.0,0.0,17.093787736482,33.6886834744623,,,,,,35.8206032119076,4.112808460634549,,,47.884841363102204,51060.0,,,,,,11.3,1.7,6.40047052454656,14.009016206145999,40.4137013924175,31.149139335782298,3.40249779522719E11,2.97125120516195,,49.660407175345895,443.332956884983,9.44756481007711,8.28766286899109,84.4267964433632,10.4097222222222,15.1736111111111,25.5833333333333,15.9719676333461,,24.770362527694896,,88.0,92.3,76.0,,684.66420489,1.99896205272859,6.09336219727141,24.26145651,77.8404634146341,680.0,17.759,1159223.0,0.35682,37.51,0.98,11.68,,,,,,,,,,17000.0,,,,,,,,,,,15.1000003814697,22.2000007629395,62.2000007629395,16162.0,15.3000001907349,30.5,50.5999984741211,57.5,23.0,15.5,,,68.3000030517578,19.2999992370605,9.10000038146973,6.599999904632571,Costa Rica,78.0,4167.71417
DEU,2003,,1.2345277959116399,3.09339782070825E10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.41317129624685794,-0.46829059521478206,28856.5719732878,29359.5407144523,99.76709747314449,,,98.9954376220703,99.6436614990234,1.61583995819092,3.05292010307312,,,,,,,,10.0,235179.0,6.0,14.047760009765598,14.186650276184098,595388.0,,,97.97154998779301,4.0,9.0,93863.0,3303737.0,99.5395278930664,2.7194700241088903,98.61663818359379,,6716720.0,1729839.0,,,23311.6556955967,5749.085,219.69806375243098,94.88,99.29,3390456.0,5.60941366629732,8.881698897678461,2.2091923E7,26.767,6.0442253E7,73.233,0.135960913901272,,,9.97637447788901,,,,,,,,,13.765087590420599,3.13008787807406,7009.7264919686095,4.472282890798219,52.136059024582,27.372998144287802,4.62170171624353,5.04317606079083,,,,,,48.7400017201342,33.9067113901551,,,32.6022763108856,348810.0,,,,,,4.2,5.2,,,,,,43.062288234658205,41.9333937020288,89.5574631219268,93.21591501608049,1.03422339225281,1.2068659864031899,103.00083333333299,,,,,,,,97.0,99.2,92.0,,3097.24384708,2.34956926639337,8.56954598360664,17.68304635,78.38048780487809,2987.0,8.6,5.4233E7,2.45996,,,,,,,,,,,,,284500.0,1.3990486829303401,-2.14496774890995,39.6913624734244,8.8118E11,31.2601347699182,,,,,,2.2999999523162797,31.5,66.1999969482422,39575.0,19.6000003814697,11.3999996185303,49.5,16.1000003814697,56.4000015258789,23.600000381469698,,49.2999992370605,26.0,57.7999992370605,12.0,9.80000019073486,Germany,78.5,3359.95215
DEU,2007,8.9824274898E10,1.47805496398505,5.08444029172754E10,4.08929950700891,-2.316050904E9,2.53388E11,,1.233859527E9,6.77971381051476,2.29017E11,1.27094E12,9.94085E11,1.539962E12,14.3080927433076,6.469580568404339,23.990635890710102,24.420779225064397,17.0621906528849,32.05288041923,,,,,,,,,,,,,,,,,3.0053797836032,3.1432092384039803,31584.940077337997,36781.5025583619,101.836967468262,,,95.6270599365234,99.5423126220703,1.1562900543212902,2.8788900375366198,72.09674072265629,91.8478775024414,14.0236301422119,47.1185989379883,25.3640403747559,4.3484201431274405,15.1501903533936,10.0,242969.0,6.0,13.628430366516099,13.459859848022498,593011.0,,83.2632369995117,102.444190979004,4.0,9.0,5641.0,3311285.0,103.92642211914101,3.3378899097442596,99.4406280517578,,6255188.0,1726660.0,,,30830.7212763117,6182.907,221.871768965227,100.18,102.15,3421515.0,5.64362409435405,9.084496882881869,2.1640169E7,26.305,6.0626203E7,73.695,0.13939991933865697,,,9.48902053198602,,,,,,,,,12.954869826149302,6.2014133813624905,7229.08991294766,4.63047214639571,48.7014710342736,22.2004221008998,10.6079706298655,9.38975984699233,0.2508,15.88,83.87,94.8618098772997,,48.61330197608051,34.0637278802306,,,32.6784638770184,348670.0,,,,16.301166999817198,,4.266840152153851,2.65,,,,,,61.1984389527421,103.82712203849199,96.0746728894075,96.7230165930834,2.29834058035325,1.6973872707303201,103.805,,,,,,,,96.0,99.2,86.0,,3718.1676637,2.47473749281335,8.00222359718665,18.38960597,79.5341463414634,2377.0,8.3,5.31E7,2.44937,25.57,2.85,,,,,65292.0,,,5.0,196.0,49.0,244000.0,1.23705351281021,-0.318315474508899,39.385531765894896,9.89849E11,27.730052561842697,,,,,,2.2000000476837203,30.0,67.8000030517578,41984.0,21.899999618530302,12.0,51.5,16.8999996185303,59.0999984741211,24.0,,56.0,33.0999984741211,56.2999992370605,10.6000003814697,8.699999809265138,Germany,79.8,41814.8191
ESP,2011,1.3163660056E10,2.13600462627383,3.17821395610738E10,3.17635792385064,6.576477186E9,-4.2209897048E10,,1.3632360073E10,-3.6261704129135,-1.1036224849E10,3.03405E11,3.62681E11,5.54413239927E11,4.53131011371833,7.43097215680027,16.1617811834345,23.7118169294342,42.6028690456995,18.4350177162016,,,,,,,,,,,,,,,,,-1.3148768451691002,-1.66492069092901,22893.4800232002,32530.0931368398,100.21270751953101,98.0929412841797,98.1508636474609,97.1474380493164,,2.52817988395691,11.535639762878402,71.5629119873047,92.78713989257808,25.544649124145497,36.97092819213871,23.4332599639893,4.845069885253911,20.8630599975586,12.0,223644.0,6.0,12.3987598419189,11.0529098510742,293861.0,97.78375244140629,,102.26882171630899,6.0,6.0,7575.0,2772909.0,104.356430053711,32.622200012206996,128.51477050781298,82.6155471801758,2681203.0,566815.0,,,36539.0385975045,3707.832,122.61646150132799,106.77,102.48,5871758.0,15.967196501038401,23.2596356175169,9968815.0,21.327,3.6773882E7,78.673,0.6493894603154821,,,5.79076423425033,12.369343276854801,80.995587002845,,,,,,,18.101148175002102,5.73573214934515,5599.37737439498,8.92763426438859,15.478865171352801,19.798101758634502,19.5267774145637,14.749767075397699,,,,,12.119641667283599,54.0409698327599,24.8639673521645,,,36.571437144914796,499880.0,,,,88.54271057691228,,5.9238048397257606,6.0072810338297495,,,,,,69.2903060286076,76.268332727835,103.19624297191099,100.028969173995,3.196242971911,0.0289691739953923,100.624171868099,,,,,,,,97.0,99.9,88.0,,3001.828448,2.51472812055039,6.929991772444151,15.15381006,82.4756097560976,1786.0,10.1,1.9889038E7,1.31929,26.02,1.72,,,,,81027.0,,,5.0,187.0,37.9,215700.0,0.9397307394435609,-3.49323111733508,54.833741742673205,5.869475E11,28.642963043236605,,,,,,4.099999904632569,21.899999618530302,74.099998474121,41250.0,12.1000003814697,16.3999996185303,40.9000015258789,41.2000007629395,23.899999618530302,34.4000015258789,,41.5999984741211,55.0999984741211,23.7999992370605,20.1000003814697,21.3999996185303,Spain,82.1,31834.21816
ETH,2014,,2.1577988117310403,1.2E9,,,,0.0,,,,,,,,,,,,,,,,0.0,1.77727E8,4.7935E7,0.0,0.0,2.7718E7,2.6506E7,4.028501E9,10.1132,0.0,1.5845673E10,2.87718E8,30.350492071052898,10.2136789801125,7.48517500123063,7038.604609639491,1499.75921868802,,,,,,,,,,,,,,,13.0,,7.0,,,,,,,6.0,6.0,,,,,,,,,,,278.29724176080003,,,,,3168043.0,17.1716088213173,3.2674138106509103,7.8509424E7,80.972,1.8449308E7,19.028,4.835587363116041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,189.83987293273998,155.441113879443,7.391814479950581,10.9599560124627,,,,,,,,,77.0,26.8,60.0,,,,,,,133012.0,,820000.0,,,,,,,,,,0.8,7.0,306.0,31.8,,0.730570793094154,,,,,,,,,,,,,2305.0,,,,,,,,,,,,,Ethiopia,64.2,571.1622759
FRA,2006,5.1416740927E10,3.39549678441642,7.89457049198979E10,5.60693900015486,1.186303306E9,-2.961305945E10,,1.1783220443E10,0.0222125519510907,-8.158070338E9,4.8485E11,5.12146E11,8.30334E11,2.58855966860314,4.31788101556572,22.2700332140417,27.7591434527594,28.1113231536504,22.1023492292337,,,,,,,,,,,,,,,,,2.63079917923687,1.9177547796123502,30947.4444564041,32287.0779685654,,,,,,,7.614749908447269,74.5426025390625,93.463768005371,20.0942096710205,46.954250335693395,21.409740447998,5.4421100616455105,17.169750213623,11.0,217017.0,6.0,18.670709609985398,12.0985202789307,495424.0,,102.061958312988,,5.0,7.0,27417.0,4051861.0,107.73773193359399,14.950119972228999,110.22796630859399,53.848400115966705,4829313.0,1164584.0,,,53831.9351675104,6831.884,190.39399276907398,96.37,97.22,1.0164407E7,20.647482286209602,22.331903038375,1.4393064E7,22.623,4.9228312E7,77.377,1.01691847691652,,,5.99589372288961,,,,,,,,,45.9230297295049,4.30083031913189,7535.7533920674705,5.5882265089792895,4.6392558636406,79.0998044428202,1.05825776650156,8.854998504748279,,,,,,53.6812673041661,33.490455770734,,,29.172541256054203,547556.0,,,,45.90393605415171,,,3.0,,,,,,104.440400971204,87.0436772454805,94.31002813684549,94.12611691999521,1.68372645008186,2.16119809814923,100.89333333333401,2.4375,,,,,,,99.0,98.7,76.0,,3422.30709024,2.42830124552799,8.42387060447201,15.90135218,80.8121951219512,2908.0,13.1,3.4125E7,2.04528,23.56,3.29,,,,,125429.0,,,9.0,132.0,66.6,354000.0,2.3448860849516002,-2.11776662510043,66.4558317824685,1.231604E12,43.978653372665704,,,,,,3.5999999046325697,23.7999992370605,72.3000030517578,52628.0,17.2000007629395,11.3999996185303,38.0999984741211,26.899999618530302,43.9000015258789,28.600000381469698,,41.5,39.5999984741211,40.2000007629395,19.0,8.80000019073486,France,86.0,36544.5853
LTU,2011,-1.398191305E9,3.53512717793989,1.5379769484798E9,0.321305223434982,1.38579706E9,-3.590863126E8,,1.878148295E9,-3.84760596241507,-1.104219509E9,2.7018287277E10,2.9895173171E10,3.6719205087E10,1.64440183590347,2.37906254206518,55.2584089577308,57.794678987991894,23.502381887431604,22.316387917129003,,,,,,,,,,,,,,,,,3.22475129907423,5.58257006523834,9815.31622808249,22541.6936442119,99.1723403930664,,,97.4995269775391,99.3943099975585,0.511330008506775,0.716570019721985,67.9558868408203,95.4010772705078,15.2392101287842,40.4160499572754,28.4548606872559,5.1726799011230495,20.652080535888697,11.0,9312.0,7.0,12.412050247192399,8.5625696182251,37981.0,99.8155975341797,98.4063034057617,100.96971893310499,4.0,8.0,1381.0,115581.0,99.3339385986328,1.05985999107361,106.91847991943399,76.6044082641602,288038.0,37177.0,,,9663.00839160477,3029.586,77.63279498558809,108.69,96.17,523813.0,25.945401096138703,,1009210.0,33.328,2018905.0,66.672,-2.38588623689046,,,4.53755851412512,14.0559697863433,99.8499450314989,,,,,,,1.1683895555386101,13.2840967252541,3529.9187778535497,20.536975977390497,0.0,0.0,14.884597268017002,23.0945555739396,,,,,,44.7697609854166,34.8741104764336,,,34.6555190350065,62674.0,,,,,,10.7759044475961,18.8431216218018,,,,,,9.367246522680132,0.5627483839825861,104.133333333333,105.185369284338,4.13333333333298,5.185369284338259,,,,,,,,,92.0,90.8,81.0,,1531.47921201,1.89497459300697,4.73913378765166,12.25267927,73.5634146341464,165.0,10.0,711909.0,0.90471,24.57,2.55,0.0,,,,,,,3.0,175.0,43.1,23350.0,2.73485382057591,-17.504983647349402,148.127999436934,4.63094E10,115.52022538112699,,,,,,8.300000190734862,24.600000381469698,66.6999969482422,31000.0,8.80000019073486,10.6000003814697,28.2000007629395,5.599999904632571,58.0,36.4000015258789,,52.0999984741211,13.6000003814697,71.599998474121,14.6000003814697,15.3999996185303,Lithuania,72.8,14357.73679
