country_code,year,BN.KLT.DINV.CD,BX.KLT.DINV.WD.GD.ZS,BX.KLT.DINV.CD.WD,BM.KLT.DINV.GD.ZS,BN.TRF.KOGT.CD,BN.FIN.TOTL.CD,BX.KLT.DREM.CD.DT,BN.RES.INCL.CD,BN.CAB.XOKA.GD.ZS,BN.GSR.GNFS.CD,BX.GSR.MRCH.CD,BM.GSR.MRCH.CD,BM.GSR.TOTL.CD,BX.GSR.INSF.ZS,BM.GSR.INSF.ZS,BX.GSR.TRAN.ZS,BM.GSR.TRAN.ZS,BX.GSR.TRVL.ZS,BM.GSR.TRVL.ZS,BX.GRT.EXTA.CD.WD,BX.GRT.TECH.CD.WD,FI.RES.TOTL.DT.ZS,DT.AMT.PNGC.CD,DT.AMT.PCBK.CD,DT.AMT.MLAT.CD,DT.DSB.DPPG.CD,DT.DSF.DPPG.CD,DT.IXA.DPPG.CD,DT.IXA.OFFT.CD,DT.DOD.DECT.CD.CG,DT.CUR.OTHC.ZS,DT.DOD.PRVS.CD,DT.DOD.PUBS.CD,DT.DOD.DSTC.CD,DT.DOD.DECT.GN.ZS,NY.GNP.MKTP.KD.ZG,NY.GNP.PCAP.KD.ZG,NY.GDP.PCAP.KN,NY.GDP.PCAP.PP.CD,SE.PRM.GINT.ZS,SE.PRM.NINT.ZS,SE.PRM.PRS5.ZS,SE.PRM.PRSL.ZS,SE.SEC.PROG.ZS,SE.PRM.REPT.ZS,SE.SEC.REPT.ZS,SE.XPD.MTOT.ZS,SE.XPD.CPRM.ZS,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,SE.XPD.TERT.ZS,SE.XPD.TOTL.GD.ZS,SE.XPD.PRIM.PC.ZS,SE.SEC.AGES,SE.PRM.TCHR,SE.PRM.AGES,SE.PRM.ENRL.TC.ZS,SE.SEC.ENRL.TC.ZS,SE.SEC.TCHR,SE.ADT.LITR.ZS,SE.SEC.CMPT.LO.ZS,SE.PRM.CMPT.ZS,SE.PRM.DURS,SE.SEC.DURS,SE.PRM.UNER,SE.PRM.ENRL,SE.PRM.ENRR,SE.PRM.PRIV.ZS,SE.SEC.ENRR,SE.TER.ENRR,SE.SEC.ENRL.GC,SE.SEC.ENRL.VO,AG.AGR.TRAC.NO,AG.LND.TRAC.ZS,EA.PRD.AGRI.KD,AG.YLD.CREL.KG,AG.CON.FERT.ZS,AG.PRD.FOOD.XD,AG.PRD.LVSK.XD,EN.URB.LCTY,EN.URB.LCTY.UR.ZS,EN.URB.MCTY.TL.ZS,SP.RUR.TOTL,SP.RUR.TOTL.ZS,SP.URB.TOTL,SP.URB.TOTL.IN.ZS,SP.URB.GROW,EN.ATM.METH.AG.ZS,EN.ATM.NOXE.AG.ZS,EN.ATM.CO2E.PC,EN.ATM.PM25.MC.M3,EN.ATM.PM25.MC.ZS,EG.ELC.ACCS.ZS,EG.ELC.ACCS.RU.ZS,EG.ELC.ACCS.UR.ZS,EG.NSF.ACCS.ZS,EG.NSF.ACCS.RU.ZS,EG.NSF.ACCS.UR.ZS,EG.USE.COMM.CL.ZS,EG.USE.CRNW.ZS,EG.USE.ELEC.KH.PC,EG.ELC.LOSS.ZS,EG.ELC.COAL.ZS,EG.ELC.NUCL.ZS,EG.ELC.RNWX.ZS,EG.FEC.RNEW.ZS,ER.H2O.FWAG.ZS,ER.H2O.FWDM.ZS,ER.H2O.FWIN.ZS,ER.GDP.FWTL.M3.KD,AG.LND.IRIG.AG.ZS,AG.LND.AGRI.ZS,AG.LND.ARBL.ZS,EN.CLC.DRSK.XQ,EN.CLC.MDAT.ZS,AG.LND.FRST.ZS,AG.LND.TOTL.K2,AG.LND.EL5M.ZS,EN.POP.EL5M.ZS,FB.CBK.BRWR.P3,FB.CBK.BRCH.P5,FB.CBK.DPTR.P3,FB.BNK.CAPA.ZS,FB.AST.NPER.ZS,FS.AST.CGOV.GD.ZS,FM.AST.PRVT.ZG.M3,FS.AST.DOMS.GD.ZS,FD.AST.PRVT.GD.ZS,FM.AST.NFRG.CN,CM.MKT.LCAP.GD.ZS,CM.MKT.TRAD.GD.ZS,FP.CPI.TOTL,NY.GDP.DEFL.ZS,FP.CPI.TOTL.ZG,NY.GDP.DEFL.KD.ZG,PX.REX.REER,FR.INR.DPST,FR.INR.LNDP,FR.INR.LEND,FR.INR.RINR,FR.INR.RISK,FD.RES.LIQU.AS.ZS,SH.MLR.TRET.ZS,SH.IMM.IDPT,SH.STA.ACSN,SH.TBS.DTEC.ZS,SH.MED.CMHW.P3,SH.XPD.PCAP.PP.KD,SH.XPD.PRIV.ZS,SH.XPD.PUBL.ZS,SH.XPD.PUBL.GX.ZS,SP.DYN.LE00.IN,SP.DYN.IMRT.IN,SH.DTH.IMRT,SP.DYN.CBRT.IN,IT.MLT.MAIN,GB.XPD.RSDV.GD.ZS,SI.DST.10TH.10,SI.DST.05TH.20,SI.DST.FRST.10,SI.DST.FRST.20,SI.POV.2DAY,IC.FRM.BRIB.ZS,IC.FRM.FEMO.ZS,IC.FRM.FEMM.ZS,IC.BUS.NREG,IC.TAX.METG,IC.TAX.OTHR.CP.ZS,IC.PRP.PROC,IC.TAX.DURS,IC.TAX.TOTL.CP.ZS,MS.MIL.TOTL.P1,MS.MIL.XPND.GD.ZS,GC.BAL.CASH.GD.ZS,GC.DOD.TOTL.GD.ZS,GC.DOD.TOTL.CN,GC.XPN.TOTL.GD.ZS,SL.TLF.0714.SW.TM,SL.TLF.0714.WK.TM,SL.AGR.0714.ZS,SL.MNF.0714.ZS,SL.SRV.0714.ZS,SL.AGR.EMPL.ZS,SL.IND.EMPL.ZS,SL.SRV.EMPL.ZS,SL.GDP.PCAP.EM.KD,SL.TLF.PART.ZS,SL.EMP.SELF.ZS,SL.TLF.ACTI.1524.NE.ZS,SL.TLF.PRIM.ZS,SL.TLF.SECO.ZS,SL.TLF.TERT.ZS,SM.POP.TOTL.ZS,SL.UEM.LTRM.ZS,SL.UEM.PRIM.ZS,SL.UEM.SECO.ZS,SL.UEM.TERT.ZS,SL.UEM.TOTL.NE.ZS,country,life_expectancy,gdp
BEL,2014,13744220861,-3.78093836614779,-20097448810.7747,4.92102491280268,-530720643.8,5648970957,,,1.58717193400724,3258275809,325986000000,330770000000,492529137410,7.5678076571169,5.76713085767342,20.675018745336,20.2216277798025,11.6026952402583,20.6480007644782,,,,,,,,,,,,,,,,,1.42103263666679,1.03803412506089,33612.2812078209,42578.226339804,,,,,,,,,,,,,,,12,,6,,,,,,,6,6,,,,,,,,,,,61359.7036204924,,,,,2028657,18.4754695989799,18.0723348798824,244934,2.182,10980273,97.818,0.421294691898473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30280,,,703.47875165708,39.8640122019437,,6.62731373724559,4.38192590611105,,,,,,71.2121570982737,20.200150427441,108.02411540946,106.185499048905,0.340000000000799,0.665587925608421,99.6683333333334,,,,,,,,99,99.5,88,,,,,,,3.4,432,,4694435,,,,,,,,,,,,0.6,8,160,58.4,,0.976280628889061,,,,,,,,,,1.10000002384186,21.5,77.4000015258789,56219,16.7000007629395,14.6000003814697,30.2000007629395,19.5,39,41.5,,49.9000015258789,37.0999984741211,40.2000007629395,22.7000007629395,8.5,Belgium,89,47439.39684
BLR,2000,,0.932726219683113,118800000,,,,4600000,,,,,,,,,,,,,21740000,13740000,13.4593435313022,71397000,27785000,35699000,0,0,13831000,12186000,-62312000,0.000299999999982,98200000,672801000,1238631000,20.5206925781899,5.77856658005152,6.09574369123609,912923.538230885,5785.87424964163,101.584899902344,81.6471633911133,,98.8826522827148,99.885383605957,0.559920012950897,0.434069991111755,,,,,,6.19661998748779,,10,32940,6,18.2068004608154,,,,94.1303100585938,99.9636611938477,4,7,,599732,111.595283508301,0.088869996368885,,54.4749298095703,996158,,72902,118.868416761781,3106.62539658311,1951.689,,79.78,84.94,1700376,24.2883133768017,16.9952623688156,3004201,30.027,7000799,69.973,0.404771989182546,62.7497485626792,74.7154012171287,5.34418060969515,15.2475760663661,99.9734326749178,100,100,100,92.800210416317,,,0.009449048832375,3.40651232352111,2988.70564717641,13.0646335389449,0,0,0,4.98260485460074,,,,,,45.6123052652337,30.2356537172155,,,40.7858410569907,202840,0,0,,,,,10.8,,,,,,,,,100,,185.290798255312,,37.55,30.1166666666667,67.6666666666667,-41.2295567568153,,,,99,94.8,82,,355.53784698,1.5023938514783,4.6264545985217,10.08509937,68.9121951219512,11.4,1051,9.4,2751905,0.7221,23.54,38.26,3.4,8.41,10.03,,,,,,,,,,91100,1.34698589853073,0.069084061398323,15.0144518163306,1371390000000,25.3401651010532,,,,,,,,,14620,,,,,,,11.2302448775612,,7.5,14.6000003814697,77.9000015258789,,Belarus,68,1276.28834
BRB,2006,-297796463.5,7.95269843650517,342244377.215,1.03283173393749,,-223524838.8,,-24842903.66,-8.23542116649239,-180891424.3,510075016,1602440250,2661845665.5,4.95973041451728,29.2493251448166,2.15144408390587,20.7566207509091,76.591562242872,32.100304070107,3940000,2810000,,,,,,,,,,,,,,,4.65993429431593,4.26913385612416,4061.22745782432,14563.9996966157,107.414657592773,78.3145065307617,92.7071380615234,,98.3246688842773,,,,,,,,,,11,,5,,14.5839195251465,1430,,106.193168640137,93.9145965576172,6,5,1432,22461,100.294708251953,11.7537097930908,103.181282043457,,20855,,,,,2700,139,97.65,99.42,,,,184931,67.238,90109,32.762,-0.16411078941327,,,4.98639470622455,,,,,,,,,,,,,,,,9.87677487045754,,,,,,37.2093023255814,30.2325581395349,,,14.6511627906977,430,,,,19.1711671823718,,,,9.51288983443709,7.76920627630291,90.6892709101894,71.9631927500871,1821632250.964,,,81.0656406669,770.546105640107,7.30766262828939,4.48585422214158,,4.5975,5.6941666666667,10.2916666666667,5.55655355238969,4.33000000000003,5.24541030053783,,84,90.8,42,,1353.58521236,1.85440595381896,3.40747885618104,12.44763466,74.1931219512195,14.9,54,12.862,134261,,,,,,,,,,,,,,,,610,,,,,,,,,,,,,,20237,,,,,,,,14,,,,8.69999980926514,Barbados,74.1,15646.5591
CRI,2003,,3.28279549397696,575064883,,,,643503368,,,,,,,,,,,,,24330000,28570000,32.5802890397773,16958000,32139000,159673000,0,0,22327000,22160000,579874000,1.04759999999999,136062000,3843967545,1632327000,33.7338882171933,4.52536891218651,2.93538614360926,381788.839957634,8463.38046267925,,,,,,,,,,,,,5.06166982650757,,12,,6,,,,,,,6,5,,,,,,,,,,,4695.53440976203,3171.38,847.290476190476,89.39,93.64,1058024,40.6535466533053,25.8577498139831,1523432,36.923,2602538,63.077,3.65741590807969,,,1.60599059130338,,,,,,,,,34.0814034632274,9.09332978298495,1658.76145488212,7.11123037702938,0,0,17.093787736482,33.6886834744623,,,,,,35.8206032119076,4.11280846063455,,,47.8848413631022,51060,,,,,,11.3,1.7,6.40047052454656,14.009016206146,40.4137013924175,31.1491393357823,340249779522.719,2.97125120516195,,49.6604071753459,443.332956884983,9.44756481007711,8.28766286899109,84.4267964433632,10.4097222222222,15.1736111111111,25.5833333333333,15.9719676333461,,24.7703625276949,,88,92.3,76,,684.66420489,1.99896205272859,6.09336219727141,24.26145651,77.8404634146341,9.5,680,17.759,1159223,0.35682,37.51,54.28,0.98,3.43,11.68,,,,,,,,,,17000,,,,,,,,,,,15.1000003814697,22.2000007629395,62.2000007629395,16162,15.3000001907349,30.5,50.5999984741211,57.5,23,15.5,,,68.3000030517578,19.2999992370605,9.10000038146973,6.59999990463257,Costa Rica,78,4167.71417
DEU,2003,,1.23452779591164,30933978207.0825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.413171296246858,-0.468290595214782,28856.5719732878,29359.5407144523,99.7670974731445,,,98.9954376220703,99.6436614990234,1.61583995819092,3.05292010307312,,,,,,,,10,235179,6,14.0477600097656,14.1866502761841,595388,,,97.971549987793,4,9,93863,3303737,99.5395278930664,2.71947002410889,98.6166381835938,,6716720,1729839,,,23311.6556955967,5749.085,219.698063752431,94.88,99.29,3390456,5.60941366629732,8.88169889767846,22091923,26.767,60442253,73.233,0.135960913901272,,,9.97637447788901,,,,,,,,,13.7650875904206,3.13008787807406,7009.72649196861,4.47228289079822,52.136059024582,27.3729981442878,4.62170171624353,5.04317606079083,,,,,,48.7400017201342,33.9067113901551,,,32.6022763108856,348810,,,,,,4.2,5.2,,,,,,43.0622882346582,41.9333937020288,89.5574631219268,93.2159150160805,1.03422339225281,1.20686598640319,103.000833333333,,,,,,,,97,99.2,92,,3097.24384708,2.34956926639337,8.56954598360664,17.68304635,78.3804878048781,4.1,2987,8.6,54233000,2.45996,,,,,,,,,,,,,,,284500,1.39904868293034,-2.14496774890995,39.6913624734244,881180000000,31.2601347699182,,,,,,2.29999995231628,31.5,66.1999969482422,39575,19.6000003814697,11.3999996185303,49.5,16.1000003814697,56.4000015258789,23.6000003814697,,49.2999992370605,26,57.7999992370605,12,9.80000019073486,Germany,78.5,3359.95215
DEU,2007,89824274898,1.47805496398505,50844402917.2754,4.08929950700891,-2316050904,253388000000,,1233859527,6.77971381051476,229017000000,1270940000000,994085000000,1539962000000,14.3080927433076,6.46958056840434,23.9906358907101,24.4207792250644,17.0621906528849,32.05288041923,,,,,,,,,,,,,,,,,3.0053797836032,3.14320923840398,31584.940077338,36781.5025583619,101.836967468262,,,95.6270599365234,99.5423126220703,1.15629005432129,2.87889003753662,72.0967407226563,91.8478775024414,14.0236301422119,47.1185989379883,25.3640403747559,4.34842014312744,15.1501903533936,10,242969,6,13.6284303665161,13.4598598480225,593011,,83.2632369995117,102.444190979004,4,9,5641,3311285,103.926422119141,3.33788990974426,99.4406280517578,,6255188,1726660,,,30830.7212763117,6182.907,221.871768965227,100.18,102.15,3421515,5.64362409435405,9.08449688288187,21640169,26.305,60626203,73.695,0.139399919338657,,,9.48902053198602,,,,,,,,,12.9548698261493,6.20141338136249,7229.08991294766,4.63047214639571,48.7014710342736,22.2004221008998,10.6079706298655,9.38975984699233,0.2508,15.88,83.87,94.8618098772997,,48.6133019760805,34.0637278802306,,,32.6784638770184,348670,,,,16.3011669998172,,4.26684015215385,2.65,,,,,,61.1984389527421,103.827122038492,96.0746728894075,96.7230165930834,2.29834058035325,1.69738727073032,103.805,,,,,,,,96,99.2,86,,3718.1676637,2.47473749281335,8.00222359718665,18.38960597,79.5341463414634,3.7,2377,8.3,53100000,2.44937,25.57,40.4,2.85,7.75,,,,,65292,,,5,196,49,244000,1.23705351281021,-0.318315474508899,39.3855317658949,989849000000,27.7300525618427,,,,,,2.20000004768372,30,67.8000030517578,41984,21.8999996185303,12,51.5,16.8999996185303,59.0999984741211,24,,56,33.0999984741211,56.2999992370605,10.6000003814697,8.69999980926514,Germany,79.8,41814.8191
ESP,2011,13163660056,2.13600462627383,31782139561.0738,3.17635792385064,6576477186,-42209897048,,13632360073,-3.6261704129135,-11036224849,303405000000,362681000000,554413239927,4.53131011371833,7.43097215680027,16.1617811834345,23.7118169294342,42.6028690456995,18.4350177162016,,,,,,,,,,,,,,,,,-1.3148768451691,-1.66492069092901,22893.4800232002,32530.0931368398,100.212707519531,98.0929412841797,98.1508636474609,97.1474380493164,,2.52817988395691,11.5356397628784,71.5629119873047,92.7871398925781,25.5446491241455,36.9709281921387,23.4332599639893,4.84506988525391,20.8630599975586,12,223644,6,12.3987598419189,11.0529098510742,293861,97.7837524414063,,102.268821716309,6,6,7575,2772909,104.356430053711,32.622200012207,128.514770507813,82.6155471801758,2681203,566815,,,36539.0385975045,3707.832,122.616461501328,106.77,102.48,5871758,15.9671965010384,23.2596356175169,9968815,21.327,36773882,78.673,0.649389460315482,,,5.79076423425033,12.3693432768548,80.995587002845,,,,,,,18.1011481750021,5.73573214934515,5599.37737439498,8.92763426438859,15.4788651713528,19.7981017586345,19.5267774145637,14.7497670753977,,,,,12.1196416672836,54.0409698327599,24.8639673521645,,,36.5714371449148,499880,,,,88.5427105769123,,5.92380483972576,6.00728103382975,,,,,,69.2903060286076,76.268332727835,103.196242971911,100.028969173995,3.196242971911,0.028969173995392,100.624171868099,,,,,,,,97,99.9,88,,3001.828448,2.51472812055039,6.92999177244415,15.15381006,82.4756097560976,3.8,1786,10.1,19889038,1.31929,26.02,41.91,1.72,5.75,,,,,81027,,,5,187,37.9,215700,0.939730739443561,-3.49323111733508,54.8337417426732,586947500000,28.6429630432366,,,,,,4.09999990463257,21.8999996185303,74.099998474121,41250,12.1000003814697,16.3999996185303,40.9000015258789,41.2000007629395,23.8999996185303,34.4000015258789,,41.5999984741211,55.0999984741211,23.7999992370605,20.1000003814697,21.3999996185303,Spain,82.1,31834.21816
ETH,2014,,2.15779881173104,1200000000,,,,0,,,,,,,,,,,,,,,,0,177727000,47935000,0,0,27718000,26506000,4028501000,10.1132,0,15845673000,287718000,30.3504920710529,10.2136789801125,7.48517500123063,7038.60460963949,1499.75921868802,,,,,,,,,,,,,,,13,,7,,,,,,,6,6,,,,,,,,,,,278.2972417608,,,,,3168043,17.1716088213173,3.26741381065091,78509424,80.972,18449308,19.028,4.83558736311604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,189.83987293274,155.441113879443,7.39181447995058,10.9599560124627,,,,,,,,,77,26.8,60,,,,,,,42.9,133012,,820000,,,,,,,,,,,,0.8,7,306,31.8,,0.730570793094154,,,,,,,,,,,,,2305,,,,,,,,,,,,,Ethiopia,64.2,571.1622759
FRA,2006,51416740927,3.39549678441642,78945704919.8979,5.60693900015486,1186303306,-29613059450,,11783220443,0.022212551951091,-8158070338,484850000000,512146000000,830334000000,2.58855966860314,4.31788101556572,22.2700332140417,27.7591434527594,28.1113231536504,22.1023492292337,,,,,,,,,,,,,,,,,2.63079917923687,1.91775477961235,30947.4444564041,32287.0779685654,,,,,,,7.61474990844727,74.5426025390625,93.463768005371,20.0942096710205,46.9542503356934,21.409740447998,5.44211006164551,17.169750213623,11,217017,6,18.6707096099854,12.0985202789307,495424,,102.061958312988,,5,7,27417,4051861,107.737731933594,14.950119972229,110.227966308594,53.8484001159667,4829313,1164584,,,53831.9351675104,6831.884,190.393992769074,96.37,97.22,10164407,20.6474822862096,22.331903038375,14393064,22.623,49228312,77.377,1.01691847691652,,,5.99589372288961,,,,,,,,,45.9230297295049,4.30083031913189,7535.75339206747,5.58822650897929,4.6392558636406,79.0998044428202,1.05825776650156,8.85499850474828,,,,,,53.6812673041661,33.490455770734,,,29.1725412560542,547556,,,,45.9039360541517,,,3,,,,,,104.440400971204,87.0436772454805,94.3100281368455,94.1261169199952,1.68372645008186,2.16119809814923,100.893333333334,2.4375,,,,,,,99,98.7,76,,3422.30709024,2.42830124552799,8.42387060447201,15.90135218,80.8121951219512,3.7,2908,13.1,34125000,2.04528,23.56,38.35,3.29,8.31,,,,,125429,,,9,132,66.6,354000,2.3448860849516,-2.11776662510043,66.4558317824685,1231604000000,43.9786533726657,,,,,,3.59999990463257,23.7999992370605,72.3000030517578,52628,17.2000007629395,11.3999996185303,38.0999984741211,26.8999996185303,43.9000015258789,28.6000003814697,,41.5,39.5999984741211,40.2000007629395,19,8.80000019073486,France,86,36544.5853
LTU,2011,-1398191305,3.53512717793989,1537976948.4798,0.321305223434982,1385797060,-359086312.6,,1878148295,-3.84760596241507,-1104219509,27018287277,29895173171,36719205087,1.64440183590347,2.37906254206518,55.2584089577308,57.7946789879919,23.5023818874316,22.316387917129,,,,,,,,,,,,,,,,,3.22475129907423,5.58257006523834,9815.31622808249,22541.6936442119,99.1723403930664,,,97.4995269775391,99.3943099975585,0.511330008506775,0.716570019721985,67.9558868408203,95.4010772705078,15.2392101287842,40.4160499572754,28.4548606872559,5.17267990112305,20.6520805358887,11,9312,7,12.4120502471924,8.5625696182251,37981,99.8155975341797,98.4063034057617,100.969718933105,4,8,1381,115581,99.3339385986328,1.05985999107361,106.918479919434,76.6044082641602,288038,37177,,,9663.00839160477,3029.586,77.6327949855881,108.69,96.17,523813,25.9454010961387,,1009210,33.328,2018905,66.672,-2.38588623689046,,,4.53755851412512,14.0559697863433,99.8499450314989,,,,,,,1.16838955553861,13.2840967252541,3529.91877785355,20.5369759773905,0,0,14.884597268017,23.0945555739396,,,,,,44.7697609854166,34.8741104764336,,,34.6555190350065,62674,,,,,,10.7759044475961,18.8431216218018,,,,,,9.36724652268013,0.562748383982586,104.133333333333,105.185369284338,4.13333333333298,5.18536928433826,,,,,,,,,92,90.8,81,,1531.47921201,1.89497459300697,4.73913378765166,12.25267927,73.5634146341464,5,165,10,711909,0.90471,24.57,39.96,2.55,7.02,0,,,,,,,3,175,43.1,23350,2.73485382057591,-17.5049836473494,148.127999436934,46309400000,115.520225381127,,,,,,8.30000019073486,24.6000003814697,66.6999969482422,31000,8.80000019073486,10.6000003814697,28.2000007629395,5.59999990463257,58,36.4000015258789,,52.0999984741211,13.6000003814697,71.599998474121,14.6000003814697,15.3999996185303,Lithuania,72.8,14357.73679
